Student_ID,Name,Age,Gender,Interests,Strengths,Skills,Math,Physics,Chemistry,Biology,English,Computer_Science,History,Attendance_pct,Learning_Style,Average_Marks,Personality,Goals,Budget,Suggested_Career,Recommended_Course,Scholarship_Option
1,Student_00001,15,Male,Technology,Creativity,Drawing,87,46,83,87,97,74,45,83.6,Visual,74.14,Introvert,Get a good job,Low,Designer,Business Management,National Merit Scholarship
2,Student_00002,22,Male,Medicine,Creativity,Excel;Marketing,91,95,40,88,91,50,84,76.9,Kinesthetic,77.0,Introvert,Higher studies,Medium,Data Analyst,Python Basics,Need-based Aid
3,Student_00003,15,Female,Business,Leadership,Python;Public Speaking,74,47,99,64,45,75,58,93.2,Kinesthetic,66.0,Ambivert,Higher studies,High,Data Analyst,Python Basics,STEM Scholarship
4,Student_00004,18,Male,Sports,Problem Solving,Marketing;Public Speaking,80,93,63,50,63,62,53,86.8,Visual,66.29,Ambivert,Higher studies,High,Designer,Data Science Intro,Need-based Aid
5,Student_00005,20,Female,Sports,Logical Thinking,Python;Biology,92,42,91,60,65,57,44,68.4,Kinesthetic,64.43,Introvert,Develop new skills,Medium,Civil Engineer,Data Science Intro,Arts Talent Scholarship
6,Student_00006,16,Male,Technology,Logical Thinking,Java;Excel;UI Design,63,54,48,72,71,45,88,61.9,Visual,63.0,Introvert,Higher studies,High,Mechanical Engineer,Business Management,National Merit Scholarship
7,Student_00007,20,Female,Design,Leadership,SQL;Python,83,86,47,83,96,74,88,70.7,Kinesthetic,79.57,Introvert,Start a business,Medium,Doctor,Biology 101,National Merit Scholarship
8,Student_00008,18,Other,Arts,Leadership,Machine Learning,59,93,80,72,78,52,49,75.0,Auditory,69.0,Ambivert,Get a good job,High,Entrepreneur,Biology 101,National Merit Scholarship
9,Student_00009,15,Female,Technology,Creativity,Biology,96,76,100,45,45,86,71,92.6,Auditory,74.14,Introvert,Develop new skills,High,Doctor,Graphic Design,Need-based Aid
10,Student_00010,17,Other,Sports,Logical Thinking,Java;Machine Learning,81,63,68,97,73,68,47,69.9,Visual,71.0,Extrovert,Get a good job,High,Research Scientist,Data Science Intro,STEM Scholarship
11,Student_00011,14,Male,Science,Creativity,Python,95,61,44,72,55,57,82,79.4,Auditory,66.57,Ambivert,Develop new skills,Low,Civil Engineer,Machine Learning Basics,Need-based Aid
12,Student_00012,17,Male,Maths,Logical Thinking,Physics;Java,66,69,95,86,43,83,81,99.4,Visual,74.71,Introvert,Develop new skills,High,Entrepreneur,Machine Learning Basics,National Merit Scholarship
13,Student_00013,17,Male,Sports,Leadership,Drawing;Java,51,57,69,55,95,99,44,77.7,Visual,67.14,Introvert,Get a good job,Low,Designer,Data Science Intro,Need-based Aid
14,Student_00014,21,Female,Sports,Analysis,Drawing,64,40,64,56,99,90,90,78.2,Reading/Writing,71.86,Ambivert,Develop new skills,Low,Designer,Graphic Design,STEM Scholarship
15,Student_00015,14,Other,Science,Logical Thinking,Python;UI Design,77,70,72,98,94,73,50,62.3,Visual,76.29,Introvert,Get a good job,High,Data Analyst,Math Foundations,STEM Scholarship
16,Student_00016,20,Male,Sports,Leadership,Python;Excel;Statistics,66,82,77,76,73,60,99,70.4,Kinesthetic,76.14,Introvert,Start a business,Medium,Doctor,Math Foundations,Arts Talent Scholarship
17,Student_00017,21,Female,Maths,Problem Solving,Excel;UI Design,46,44,74,53,72,56,48,97.3,Visual,56.14,Introvert,Start a business,Medium,Doctor,Biology 101,Arts Talent Scholarship
18,Student_00018,22,Male,Technology,Logical Thinking,Drawing,56,47,96,46,87,75,49,70.9,Auditory,65.14,Ambivert,Start a business,Low,Teacher,Business Management,Need-based Aid
19,Student_00019,18,Male,Maths,Logical Thinking,Marketing;Python,40,61,89,48,80,56,50,89.6,Reading/Writing,60.57,Ambivert,Get a good job,Low,Data Analyst,Math Foundations,STEM Scholarship
20,Student_00020,22,Male,Business,Leadership,Drawing;Java;UI Design,42,59,63,97,99,90,95,61.6,Kinesthetic,77.86,Introvert,Higher studies,High,Data Analyst,Graphic Design,Need-based Aid
21,Student_00021,16,Male,Arts,Creativity,Python;Drawing,87,99,61,90,99,66,91,86.8,Auditory,84.71,Extrovert,Higher studies,High,Data Analyst,Biology 101,National Merit Scholarship
22,Student_00022,21,Male,Sports,Analysis,Marketing;Biology,54,41,82,52,65,61,57,94.6,Kinesthetic,58.86,Extrovert,Develop new skills,High,Research Scientist,Graphic Design,National Merit Scholarship
23,Student_00023,15,Female,Arts,Leadership,Python;Statistics,78,67,62,86,90,60,67,84.2,Visual,72.86,Extrovert,Higher studies,Medium,Software Engineer,Math Foundations,Need-based Aid
24,Student_00024,14,Other,Sports,Communication,Statistics;Machine Learning,98,61,79,60,82,94,47,88.8,Kinesthetic,74.43,Ambivert,Start a business,High,Mechanical Engineer,Graphic Design,Need-based Aid
25,Student_00025,18,Other,Arts,Creativity,Machine Learning;Java,83,87,97,51,79,76,59,76.2,Visual,76.0,Extrovert,Start a business,Low,Mechanical Engineer,Machine Learning Basics,Arts Talent Scholarship
26,Student_00026,21,Female,Design,Logical Thinking,SQL,70,90,97,90,87,50,82,63.4,Kinesthetic,80.86,Introvert,Higher studies,High,Teacher,Data Science Intro,STEM Scholarship
27,Student_00027,16,Male,Science,Creativity,Excel;Statistics,69,66,96,80,76,52,85,87.9,Reading/Writing,74.86,Extrovert,Higher studies,Low,Software Engineer,Machine Learning Basics,National Merit Scholarship
28,Student_00028,20,Male,Arts,Logical Thinking,Public Speaking;Python;SQL,55,98,94,47,69,48,91,78.6,Kinesthetic,71.71,Extrovert,Develop new skills,High,Civil Engineer,Data Science Intro,Need-based Aid
29,Student_00029,21,Female,Sports,Logical Thinking,SQL;Public Speaking,80,55,57,68,44,85,58,69.4,Kinesthetic,63.86,Extrovert,Get a good job,Low,Doctor,Data Science Intro,Need-based Aid
